Target Name, Instrument Mode, Hours on Mode, Program ID, Program PIs, Program Title
LRL-58,MIRI Medium Resolution Spectroscopy,1.62,2826.0,PI: John Carr,Evolution of Chemical Diversity in Inner Disks: Core Accretion and Pebble Inflow
LRL-40,MIRI Medium Resolution Spectroscopy,1.70,2826.0,PI: John Carr,Evolution of Chemical Diversity in Inner Disks: Core Accretion and Pebble Inflow
LRL-55,MIRI Medium Resolution Spectroscopy,1.56,2826.0,PI: John Carr,Evolution of Chemical Diversity in Inner Disks: Core Accretion and Pebble Inflow
LRL-37,MIRI Medium Resolution Spectroscopy,1.54,2826.0,PI: John Carr,Evolution of Chemical Diversity in Inner Disks: Core Accretion and Pebble Inflow
LRL-63,MIRI Medium Resolution Spectroscopy,1.63,2826.0,PI: John Carr,Evolution of Chemical Diversity in Inner Disks: Core Accretion and Pebble Inflow
LRL-9060,MIRI Medium Resolution Spectroscopy,1.53,2826.0,PI: John Carr,Evolution of Chemical Diversity in Inner Disks: Core Accretion and Pebble Inflow
LRL-32,MIRI Medium Resolution Spectroscopy,1.61,2826.0,PI: John Carr,Evolution of Chemical Diversity in Inner Disks: Core Accretion and Pebble Inflow
LRL-10352,MIRI Medium Resolution Spectroscopy,2.01,2826.0,PI: John Carr,Evolution of Chemical Diversity in Inner Disks: Core Accretion and Pebble Inflow
LRL-15,MIRI Medium Resolution Spectroscopy,1.31,2826.0,PI: John Carr,Evolution of Chemical Diversity in Inner Disks: Core Accretion and Pebble Inflow
LRL-41,MIRI Medium Resolution Spectroscopy,1.53,2826.0,PI: John Carr,Evolution of Chemical Diversity in Inner Disks: Core Accretion and Pebble Inflow
LRL-36,MIRI Medium Resolution Spectroscopy,1.68,2826.0,PI: John Carr,Evolution of Chemical Diversity in Inner Disks: Core Accretion and Pebble Inflow
LRL-1933,MIRI Medium Resolution Spectroscopy,1.29,2826.0,PI: John Carr,Evolution of Chemical Diversity in Inner Disks: Core Accretion and Pebble Inflow
HAT-P-1,MIRI Low Resolution Spectroscopy,10.02,2950.0,PI: Rens Waters,Exploring sulfur dioxide in H/He-rich hot gas giant atmospheres
HD106315,MIRI Low Resolution Spectroscopy,14.17,2950.0,PI: Rens Waters,Exploring sulfur dioxide in H/He-rich hot gas giant atmospheres
HD106315,MIRI Low Resolution Spectroscopy,0.39,2950.0,PI: Rens Waters,Exploring sulfur dioxide in H/He-rich hot gas giant atmospheres
HAT-P-11,MIRI Low Resolution Spectroscopy,8.88,2950.0,PI: Rens Waters,Exploring sulfur dioxide in H/He-rich hot gas giant atmospheres
HAT-P-1HAT-P-1-BG,MIRI Low Resolution Spectroscopy,0.46,2950.0,PI: Rens Waters,Exploring sulfur dioxide in H/He-rich hot gas giant atmospheres
HAT-P-11HAT-P-11-BG,MIRI Low Resolution Spectroscopy,0.46,2950.0,PI: Rens Waters,Exploring sulfur dioxide in H/He-rich hot gas giant atmospheres
WASP-121B,MIRI Low Resolution Spectroscopy,9.06,2961.0,PI: Paul Molliere,Vaporized rocks: Detecting silicate cloud precursors in ultra-hot Jupiters
